,month,cpi
0,2018.1,101.47
1,2017.12,101.85
2,2017.11,101.73
3,2017.10,101.87
4,2017.9,101.6
5,2017.8,101.77
6,2017.7,101.4
7,2017.6,101.64
8,2017.5,101.52
9,2017.4,101.17
10,2017.3,100.92
11,2017.2,102.39
12,2017.1,102.55
13,2016.12,103.04
14,2016.11,102.25
15,2016.10,102.1
16,2016.9,101.9
17,2016.8,101.34
18,2016.7,101.77
19,2016.6,101.88
20,2016.5,102.04
21,2016.4,102.33
22,2016.3,102.3
23,2016.2,102.28
24,2016.1,101.75
25,2015.12,102.3
26,2015.11,102.4
27,2015.10,102.4
28,2015.9,102.2
29,2015.8,102.8
30,2015.7,101.65
31,2015.6,101.39
32,2015.5,101.23
33,2015.4,101.51
34,2015.3,101.38
35,2015.2,101.43
36,2015.1,100.76
37,2014.12,101.51
38,2014.11,101.44
39,2014.10,101.6
40,2014.9,101.63
41,2014.8,101.99
42,2014.7,102.29
43,2014.6,102.34
44,2014.5,102.48
45,2014.4,101.8
46,2014.3,102.38
47,2014.2,101.95
48,2014.1,102.49
49,2013.12,102.5
50,2013.11,103.02
51,2013.10,103.21
52,2013.9,103.05
53,2013.8,102.57
54,2013.7,102.67
55,2013.6,102.67
56,2013.5,102.1
57,2013.4,102.39
58,2013.3,102.07
59,2013.2,103.22
60,2013.1,102.03
61,2012.12,102.52
62,2012.11,102.04
63,2012.10,101.72
64,2012.9,101.91
65,2012.8,102.05
66,2012.7,101.78
67,2012.6,102.15
68,2012.5,103.0
69,2012.4,103.37
70,2012.3,103.59
71,2012.2,103.16
72,2012.1,104.55
73,2011.12,104.1
74,2011.11,104.2
75,2011.10,105.5
76,2011.9,106.1
77,2011.8,106.2
78,2011.7,106.5
79,2011.6,106.4
80,2011.5,105.5
81,2011.4,105.3
82,2011.3,105.4
83,2011.2,104.9
84,2011.1,104.9
85,2010.12,104.6
86,2010.11,105.1
87,2010.10,104.4
88,2010.9,103.6
89,2010.8,103.5
90,2010.7,103.3
91,2010.6,102.9
92,2010.5,103.1
93,2010.4,102.8
94,2010.3,102.4
95,2010.2,102.7
96,2010.1,101.5
97,2009.12,101.9
98,2009.11,100.6
99,2009.10,99.5
100,2009.9,99.2
101,2009.8,98.8
102,2009.7,98.2
103,2009.6,98.3
104,2009.5,98.6
105,2009.4,98.5
106,2009.3,98.8
107,2009.2,98.4
108,2009.1,101.0
109,2008.12,101.2
110,2008.11,102.4
111,2008.10,104.0
112,2008.9,104.6
113,2008.8,104.9
114,2008.7,106.3
115,2008.6,107.1
116,2008.5,107.7
117,2008.4,108.5
118,2008.3,108.3
119,2008.2,108.7
120,2008.1,107.1
121,2007.12,106.5
122,2007.11,106.9
123,2007.10,106.5
124,2007.9,106.2
125,2007.8,106.5
126,2007.7,105.6
127,2007.6,104.4
128,2007.5,103.4
129,2007.4,103.0
130,2007.3,103.3
131,2007.2,102.7
132,2007.1,102.2
133,2006.12,102.8
134,2006.11,101.9
135,2006.10,101.4
136,2006.9,101.5
137,2006.8,101.3
138,2006.7,101.0
139,2006.6,101.5
140,2006.5,101.4
141,2006.4,101.2
142,2006.3,100.8
143,2006.2,100.9
144,2006.1,101.9
145,2005.12,101.6
146,2005.11,101.3
147,2005.10,101.2
148,2005.9,100.9
149,2005.8,101.3
150,2005.7,101.8
151,2005.6,101.6
152,2005.5,101.8
153,2005.4,101.8
154,2005.3,102.7
155,2005.2,103.9
156,2005.1,101.9
157,2004.12,102.4
158,2004.11,102.8
159,2004.10,104.3
160,2004.9,105.2
161,2004.8,105.3
162,2004.7,105.3
163,2004.6,105.0
164,2004.5,104.4
165,2004.4,103.8
166,2004.3,103.0
167,2004.2,102.1
168,2004.1,103.2
169,2003.12,103.2
170,2003.11,103.0
171,2003.10,101.8
172,2003.9,101.1
173,2003.8,100.9
174,2003.7,100.5
175,2003.6,100.3
176,2003.5,100.7
177,2003.4,101.0
178,2003.3,100.9
179,2003.2,100.2
180,2003.1,100.4
181,2002.12,99.6
182,2002.11,99.3
183,2002.10,99.2
184,2002.9,99.3
185,2002.8,99.3
186,2002.7,99.1
187,2002.6,99.2
188,2002.5,98.9
189,2002.4,98.7
190,2002.3,99.2
191,2002.2,100.0
192,2002.1,99.0
193,2001.12,99.7
194,2001.11,99.7
195,2001.10,100.2
